,city,tmpd,dptp,date,pm25tmean2,pm10tmean2,o3tmean2,no2tmean2
0,chic,31.5,31.5,1987-01-01,,34.0,4.25,19.988095238
1,chic,33.0,29.875,1987-01-02,,,3.3043478261,23.190993789
2,chic,33.0,27.375,1987-01-03,,34.166666667,3.3333333333,23.81547619
3,chic,29.0,28.625,1987-01-04,,47.0,4.375,30.43452381
4,chic,32.0,28.875,1987-01-05,,,4.75,30.333333333
5,chic,40.0,35.125,1987-01-06,,48.0,5.8333333333,25.772330671
6,chic,34.5,26.75,1987-01-07,,41.0,9.2916666667,20.581709957
7,chic,29.0,22.0,1987-01-08,,36.0,11.291666667,17.037230861
8,chic,26.5,29.0,1987-01-09,,33.285714286,4.5,23.388888889
9,chic,32.5,27.75,1987-01-10,,,4.9583333333,19.541666667
